;Name;Stars;From_Centre;From_Beach;Reviews;Rating;Comfort;Img;Price
75;Magic Aqua Rock Gardens;4.0;2.5;0.25;831.0;7.8;;"https://cf.bstatic.com/xdata/images/hotel/square600/269246832.jpg?k=065818c3ba3c5a3531181689b025f5cc8a0969f959dc85876bcd8b866aab5ba3&amp;o=";3726.0
76;Versailles 2-9;;2.4;0.5;5.0;7.8;9.0;"https://cf.bstatic.com/xdata/images/hotel/square600/258755913.jpg?k=80c83ed6dac0755c6a33b07523f1cc70c4f5655b1c98b6d81075059fd2c8fa8b&amp;o=";1139.0
77;Piscis Of The Sea Benidorm;;2.3;;110.0;8.6;8.1;"https://cf.bstatic.com/xdata/images/hotel/square600/173080755.jpg?k=bac5ee538ce408cb29cea1f83c07b28d43afc861e05fb7a2089d01ee59818676&amp;o=";1790.0
78;Hotel Villa del Mar;4.0;0.5;;1046.0;8.7;8.8;"https://cf.bstatic.com/xdata/images/hotel/square600/277878236.jpg?k=7ca13b9c587eb4dd55a79a07eb764e4636705d8ab8c9b8cf25167a5fb943b9af&amp;o=";3167.0
79;Hotel Alameda;3.0;0.2;;952.0;8.7;8.7;"https://cf.bstatic.com/xdata/images/hotel/square600/268997413.jpg?k=4e15c55db687218e67d69a3864098674ba2e46c9feb061e6b9e45c23af0e522e&amp;o=";1974.0
80;Apartamentos Buenos Aires By Mc;;2.3;0.35;1103.0;8.4;8.3;"https://cf.bstatic.com/xdata/images/hotel/square600/38556679.jpg?k=6db118389e9c7cc2a7629417a970dc06377432a61ab10b726495d4afda3eee1a&amp;o=";1953.0
81;Magic Aqua Rock Gardens;4.0;2.5;0.25;831.0;7.8;;"https://cf.bstatic.com/xdata/images/hotel/square600/269246832.jpg?k=065818c3ba3c5a3531181689b025f5cc8a0969f959dc85876bcd8b866aab5ba3&amp;o=";3726.0
82;Versailles 2-9;;2.4;0.5;5.0;7.8;9.0;"https://cf.bstatic.com/xdata/images/hotel/square600/258755913.jpg?k=80c83ed6dac0755c6a33b07523f1cc70c4f5655b1c98b6d81075059fd2c8fa8b&amp;o=";1139.0
83;Apartamentos Las Carabelas;;2.3;;414.0;8.0;;"https://cf.bstatic.com/xdata/images/hotel/square600/14044458.jpg?k=1008eee9584ac70bafa21e07128d835a04112a8737d2f0e47cd58eea7f0fc393&amp;o=";1526.0
84;Tropic Mar 2H;;2.4;;37.0;7.9;;"https://cf.bstatic.com/xdata/images/hotel/square600/290665693.jpg?k=ffb896f77cc6fbcf964f958d0754b4973a275d52362b1e79f7d337030863e621&amp;o=";2321.0
85;Piscis Of The Sea Benidorm;;2.3;;110.0;8.6;8.1;"https://cf.bstatic.com/xdata/images/hotel/square600/173080755.jpg?k=bac5ee538ce408cb29cea1f83c07b28d43afc861e05fb7a2089d01ee59818676&amp;o=";1790.0
86;Hotel Villa del Mar;4.0;0.5;;1046.0;8.7;8.8;"https://cf.bstatic.com/xdata/images/hotel/square600/277878236.jpg?k=7ca13b9c587eb4dd55a79a07eb764e4636705d8ab8c9b8cf25167a5fb943b9af&amp;o=";3167.0
87;Coblanca 7;;2.0;;37.0;7.5;;"https://cf.bstatic.com/xdata/images/hotel/square600/152871834.jpg?k=2ef8e523f7eb33a72e74601fd80cd7be214aae990202247451b1ffacedd2d989&amp;o=";2148.0
88;Hotel Avenida;4.0;0.4;0.15;116.0;7.9;8.0;"https://cf.bstatic.com/xdata/images/hotel/square600/63646484.jpg?k=8f4fa64515495fa927dc3a8fd37460681485852ef594dfd3842041b9c4cad9e7&amp;o=";2370.0
89;Apartamentos La Gloria;;0.2;0.15;44.0;9.4;9.7;"https://cf.bstatic.com/xdata/images/hotel/square600/173420028.jpg?k=5ef88d0aa9dd25fe1b4fd151765563dc607348c32bbdc3d7db97341fd8f7d31d&amp;o=";1890.0
90;Las Palmeras 10A;;0.9;;142.0;9.2;9.1;"https://cf.bstatic.com/xdata/images/hotel/square600/152569611.jpg?k=f9c372c7de1e67cfc98e9e48d08666a665103deaa96f5845e3c76f873e30809e&amp;o=";3209.0
91;Apartamento Beni-Marconi;;0.5;;32.0;9.1;9.2;"https://cf.bstatic.com/xdata/images/hotel/square600/243016326.jpg?k=db80d823bcca09b319d121e83308d7e6da33ab6fdf9f33226cf06f226b8d4b14&amp;o=";2754.0
92;48 BENIDORM;;2.2;0.25;98.0;8.9;8.8;"https://cf.bstatic.com/xdata/images/hotel/square600/172954089.jpg?k=bed9b41b59038edc9a32a01bfe9d2d85047a388f162a28fa776f4dd3248c496b&amp;o=";1790.0
93;Gran Park Benidorm;;2.8;0.75;128.0;8.6;8.4;"https://cf.bstatic.com/xdata/images/hotel/square600/147055306.jpg?k=aee1d12a4614d69263952ccdd3fd23b3913531cb74c4d6a825f5dc9dd54d7ae4&amp;o=";1860.0
94;Flamingo Beach Resort - Adults Only;4.0;1.5;0.85;577.0;8.8;9.0;"https://cf.bstatic.com/xdata/images/hotel/square600/45597963.jpg?k=21dd2aac91fdbbb187cc4b246e421dadcc0582a791b54fa63eb792e892686ab4&amp;o=";2440.0
95;SAN PEDRO ll Centro Beach;;0.1;;37.0;8.7;8.5;"https://cf.bstatic.com/xdata/images/hotel/square600/206430167.jpg?k=4528f8d890687634d8e4b5d22de730e0b9bb324b58306de062cc0f39150838c2&amp;o=";3786.0
96;Gemelos 2 18-E;;1.3;0.45;4.0;7.8;;"https://cf.bstatic.com/xdata/images/hotel/square600/305706254.jpg?k=2c1c746dbe231e9adb2577a66a041bf4e81c1ba4972ab5b67c2e6f07f70461cc&amp;o=";1164.0
97;Don Miguel Deluxe 22-A;;2.2;;26.0;9.4;9.9;"https://cf.bstatic.com/xdata/images/hotel/square600/215543083.jpg?k=92858a6cbdd582ced3d2de75ca38b7c56b22a385cea78550be5010c19ffaf10b&amp;o=";4669.0
98;Milán Soria luxury;;2.6;;13.0;9.3;9.4;"https://cf.bstatic.com/xdata/images/hotel/square600/265160554.jpg?k=cc811674011d417f9baa3aec1f8de536ba79795f3bfdffe35b03834ea24924a4&amp;o=";1540.0
99;Donna II 7-32;;0.7;0.3;27.0;6.9;;"https://cf.bstatic.com/xdata/images/hotel/square600/152881720.jpg?k=321ae9bf13b473cd37d8639864c247a35425bc48fece55575f2551a4e13e149f&amp;o=";2077.0
100;Sant Lorenzo Suite;;0.2;;11.0;8.4;8.9;"https://cf.bstatic.com/xdata/images/hotel/square600/237423669.jpg?k=49e93003c94a3610343243b569f39dd736fc97f43155a40d27079e37999dd4f4&amp;o=";1794.0
